0.58 0.58:  0.4933, [ -0.311,   0.382]
0.58 0.62:  0.8181, [ -0.533,   0.621]
0.58 0.66:  0.9149, [ -0.485,   0.776]
0.58 0.70:  1.1000, [ -0.608,   0.917]
0.58 0.74:  1.0747, [ -0.490,   0.957]
0.58 0.79:  1.3616, [ -0.669,   1.186]
0.62 0.00:  0.4064, [ -0.372,   0.163]
0.62 0.04:  0.3745, [ -0.355,   0.118]
0.62 0.08:  0.3160, [ -0.298,   0.104]
0.62 0.12:  0.1730, [ -0.139,   0.103]
0.62 0.17:  0.1672, [ -0.149,   0.075]
0.62 0.21:  0.2102, [ -0.197,   0.073]
0.62 0.25:  0.2717, [ -0.247,   0.114]
0.62 0.29:  0.3115, [ -0.283,   0.130]
0.62 0.33:  0.3696, [ -0.338,   0.150]
0.62 0.37:  0.3321, [ -0.314,   0.109]
0.62 0.41:  0.3348, [ -0.324,   0.086]
0.62 0.45:  0.2915, [ -0.291,  -0.023]
0.62 0.50:  0.2459, [ -0.237,   0.066]
0.62 0.54:  0.3223, [ -0.237,   0.219]
0.62 0.58:  0.6016, [ -0.395,   0.453]
0.62 0.62:  0.7317, [ -0.431,   0.591]
0.62 0.66:  0.7853, [ -0.400,   0.676]
0.62 0.70:  0.9678, [ -0.554,   0.793]
0.62 0.74:  1.0094, [ -0.483,   0.887]
0.62 0.79:  1.2071, [ -0.655,   1.014]
0.66 0.00:  0.3461, [ -0.313,   0.147]
0.66 0.04:  0.3733, [ -0.347,   0.139]
0.66 0.08:  0.3414, [ -0.291,   0.178]
0.66 0.12:  0.2071, [ -0.179,   0.103]
0.66 0.17:  0.1648, [ -0.149,   0.071]
0.66 0.21:  0.1747, [ -0.167,   0.050]
0.66 0.25:  0.2476, [ -0.227,   0.099]
0.66 0.29:  0.4200, [ -0.353,   0.227]
0.66 0.33:  0.2523, [ -0.247,   0.051]
0.66 0.37:  0.2665, [ -0.255,   0.078]
0.66 0.41:  0.3038, [ -0.145,   0.267]
0.66 0.45:  0.0651, [ -0.054,   0.037]
0.66 0.50:  0.2915, [ -0.068,   0.283]
